Well_ID;Rec_ID;Week;Sex;Gr_size;Arena;N_comp;N_females;F1_ID;N_MTP1_1;N_RD_1;F2_ID;N_MTP1_2;N_RD_2;F3_ID;N_MTP1_3;N_RD_3;F4_ID;N_MTP1_4;N_RD_4;F5_ID;N_MTP1_5;N_RD_5;F6_ID;N_MTP1_6;N_RD_6;MatingDuration_av;Matings_number;MatingPartners_number;AttemptDuration_av;Attempts_number;AttemptPartners_number;Cop_Fe_1;Cop_Fe_2;Cop_Fe_3;Cop_Fe_4;Cop_Fe_5;Cop_Fe_6;Body_mass_mg_focal;Mass_reproducibility_mg_focal;N_contact_WT;N_contact_RD;contacts_wt_ind;contacts_rd_ind;Total_N_MTP1;Total_N_Rd;m_prop_RS;f_prop_RS;Prop_MS;Total_Encounters;Treatment;gMS;m_RS_Rd_comp;m_RS_Rd_comp_full;m_TotMatings;m_MatingDuration_av;m_Attempts_number;m_Prop_MS;m_Total_Encounters;m_RS;m_cMS;m_meanCop;m_InSuc;m_feSuc;m_PS;m_pFec;m_pFec_compl;f_TotMatings;f_MatingDuration_av;f_Attempts_number;f_Prop_MS;f_Total_Encounters;f_RS;f_cMS;f_meanCop;meanCop;f_fec_pMate
39;V07;1;F;LG;Small;5;6;169;108;0;170;0;83;171;0;0;172;0;91;173;0;129;174;0;143;83.5;2;2;13.88;8;2;NA;NA;NA;NA;NA;NA;2.52;NA;199;150;33.16666667;30;108;89.2;NA;54.76673428;0.2;10;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;83.5;8;0.2;10;108;2;1;1;54
40;V07;1;F;LG;Small;5;6;175;98;0;176;0;80;177;0;93;178;0;0;179;0;95;180;0;88;89;3;3;8;1;1;NA;NA;NA;NA;NA;NA;2.52;NA;171;161;28.5;32.2;98;71.2;NA;57.91962175;0.75;4;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;89;1;0.75;4;98;3;1;1;32.66666667
41;V07;1;M;LG;Small;5;6;181;0;70;182;7;63;183;0;98;184;0;62;185;9;71;186;0;68;73.5;2;2;8.4;5;4;0;1;0;0;1;0;1.94;NA;252;268;42;53.6;16;86.4;15.625;NA;0.285714286;7;D = 1.33;2;134;134;2;73.5;5;0.285714286;7;16;2;1;1;0.106666667;0.106666667;75;75;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
42;V07;1;M;SG;Small;2;3;187;81;0;188;57;42;189;0;79;NA;NA;NA;NA;NA;NA;NA;NA;NA;110;5;2;13.23;27;3;4;1;0;0;0;0;2.13;2.12;255;188;85;94;138;60.5;69.52141058;NA;0.15625;32;D = 0.67;2;42;42;5;110;27;0.15625;32;138;2;2.5;1;0.766666667;0.766666667;90;90;NA;NA;NA;NA;NA;NA;NA;NA;2.5;NA
43;V08;1;M;LG;Large;5;6;190;0;71;191;0;133;192;0;0;193;0;0;194;0;65;195;93;0;69.5;2;2;10.6;5;4;1;0;0;0;0;1;2.01;NA;178;202;29.66666667;40.4;93;53.8;63.35149864;NA;0.285714286;7;D = 0.52;1;0;71;2;69.5;5;0.285714286;7;93;2;1;0.5;1;0.5;93;82;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
45;V08;1;M;LG;Large;5;6;199;0;0;200;0;80;201;0;102;202;102;0;203;32;51;204;0;0;148.5;2;2;16.81;11;5;0;0;0;1;1;0;2.01;NA;168;151;28;30.2;134;46.6;74.19712071;NA;0.153846154;13;D = 0.52;2;51;51;2;148.5;11;0.153846154;13;134;2;1;1;0.724324324;0.724324324;92.5;92.5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
47;V08;1;F;SG;Large;2;3;211;0;0;212;0;76;213;0;102;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.67;3;2;21.5;6;2;NA;NA;NA;NA;NA;NA;2.21;NA;113;77;37.66666667;38.5;0;89;NA;0;0.333333333;9;D = 0.26;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;50.67;6;0.333333333;9;0;2;1.5;1.5;0
48;V08;1;F;SG;Large;2;3;214;2;0;215;0;62;216;0;56;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;4;2;15.75;8;3;NA;NA;NA;NA;NA;NA;1.99;2.01;78;37;26;18.5;2;59;NA;3.278688525;0.333333333;12;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;97;8;0.333333333;12;2;2;2;2;1
49;V09;1;M;LG;Small;5;6;217;0;0;218;0;0;219;0;0;220;0;83;221;0;45;222;0;91;NA;0;0;15.88;8;4;0;0;0;0;0;0;2.18;2.16;208;187;34.66666667;37.4;0;43.8;0;NA;NA;8;D = 1.33;0;0;0;0;NA;8;NA;8;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;V09;1;F;SG;Small;2;3;223;67;0;224;0;101;225;0;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;87.75;4;2;17;1;1;NA;NA;NA;NA;NA;NA;2.64;2.6;62;41;20.66666667;20.5;67;67.5;NA;49.81412639;0.8;5;D = 0.67;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;87.75;1;0.8;5;67;2;2;2;33.5
